Transaction_ID,Transaction_Date,Terminal_ID,Receipt_Number,Clerk,Sales_Total,Tax,Sales_Ex_Tax
,Large_Chip_Meal_,1136,1,9.00,8.18,9.00,0.00
,Large_Chip_Meal,501,1,0.00,0.00,0.00,0.00
,600ML_Water,264,1,0.00,0.00,0.00,0.00
,600ML_Water,264,1,4.00,3.64,4.00,0.00
,EFTPOS,2,,22.00,,,
12383379,16052022_114853,212,24,RENSCHE,8.10,0.74,7.36
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Reg_Pork_Sub,76,1,8.10,7.36,9.00,0.90
,DISCOUNT,0,,0.90,,,
,EFTPOS,2,,8.10,,,
12383389,16052022_115035,212,25,ROB,11.50,1.04,10.46
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Chips,12,1,7.50,6.82,7.50,0.00
,600ML_Water,264,1,4.00,3.64,4.00,0.00
,EFTPOS,2,,11.50,,,
12383408,16052022_115504,211,23,RENSCHE,8.50,0.77,7.73
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Chips,12,1,7.50,6.82,7.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,CASH,1,,8.50,,,
12383416,16052022_115637,211,24,RENSCHE,18.90,1.72,17.18
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Chips,12,1,7.50,6.82,7.50,0.00
,600ML_Pepsi_Max,277,1,4.90,4.45,4.90,0.00
,Regular_Potato_Bake,496,1,6.50,5.91,6.50,0.00
,CASH,1,,50.00,,,
,CHANGE,9996,,31.10,,,
12383430,16052022_115916,212,26,ROB,19.90,1.81,18.09
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Beef_Meal,125,1,15.90,14.45,15.90,0.00
,600ML_Water,264,1,4.00,3.64,4.00,0.00
,EFTPOS,2,,19.90,,,
12383432,16052022_115950,212,27,RENSCHE,24.40,2.22,22.18
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,PF_Steak_Toastie,1182,1,11.00,10.00,11.00,0.00
,Large_Chips,12,1,7.50,6.82,7.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,600ML_Pepsi_Max,277,1,4.90,4.45,4.90,0.00
,EFTPOS,2,,24.40,,,
12383440,16052022_120139,211,25,ROB,43.80,3.99,39.81
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Beef_Meal,125,1,15.90,14.45,15.90,0.00
,600ML_Pepsi,276,1,4.90,4.45,4.90,0.00
,Battered_Fish_Meal,446,1,13.50,12.27,13.50,0.00
,Bacon_&_Egg_Roll,3,1,7.50,6.82,7.50,0.00
,BBQ_Sauce,852,1,0.00,0.00,0.00,0.00
,Hash_Brown,7,1,2.00,1.82,2.00,0.00
,EFTPOS,2,,43.80,,,
12383459,16052022_120424,212,28,RENSCHE,15.50,1.41,14.09
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Reg_Beef_Sub,70,1,9.00,8.18,9.00,0.00
,Regular_Chips,11,1,5.50,5.00,5.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,CASH,1,,20.00,,,
,CHANGE,9996,,4.50,,,
12383463,16052022_120530,212,29,RENSCHE,8.50,0.77,7.73
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Chips,12,1,7.50,6.82,7.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,EFTPOS,2,,8.50,,,
12383468,16052022_120619,212,30,ROB,12.50,1.13,11.37
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Mega_Chips,13,1,10.50,9.55,10.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,EFTPOS,2,,12.50,,,
12383467,16052022_120629,211,26,RENSCHE,6.50,0.59,5.91
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Chips,11,1,5.50,5.00,5.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,EFTPOS,2,,6.50,,,
12383475,16052022_120854,211,27,RENSCHE,18.72,1.70,17.02
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Beef_Meal,125,1,14.31,13.01,15.90,1.59
,600ML_Pepsi,276,1,4.41,4.01,4.90,0.49
,DISCOUNT,0,,2.08,,,
,CASH,1,,20.00,,,
,CHANGE,9996,,1.30,,,
,CASH_ROUNDING,8010,,-0.02,,,
12383483,16052022_121032,212,31,SAM,13.70,1.24,12.46
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Chips,12,1,7.50,6.82,7.50,0.00
,Gravy_PC,336,1,1.00,0.91,1.00,0.00
,Lipton_Iced_Tea_Peach,1109,1,5.20,4.73,5.20,0.00
,CASH,1,,15.00,,,
,CHANGE,9996,,1.30,,,
12383488,16052022_121203,212,32,RENSCHE,5.50,0.50,5.00
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Chips,11,1,5.50,5.00,5.50,0.00
,EFTPOS,2,,5.50,,,
12383490,16052022_121238,212,33,SAM,19.90,1.81,18.09
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Regular_Pork_Meal,134,1,15.90,14.45,15.90,0.00
,600ML_Water,264,1,4.00,3.64,4.00,0.00
,EFTPOS,2,,19.90,,,
12383512,16052022_121644,212,34,RENSCHE,26.91,2.44,24.47
,Description,PLU,Quantity,Sales_Inc,Sales_Ex,Original,Item_Disc.
,Large_Chips,12,1,6.75,6.14,7.50,0.75
