Transaction ID,Transaction Date,Terminal ID,,,Receipt Number,Clerk,Sales Total,Tax,Sales Ex Tax
,Large Chips,12,,,1,6.75,6.14,7.5,0.75
,Gravy PC,336,,,1,0.9,0.82,1,0.1
,Reg Pork Sub,76,,,1,8.1,7.36,9,0.9
,600ML Sunkist,279,,,1,4.41,4.01,4.9,0.49
,DISCOUNT,0,,,,2.99,,,
,CASH,1,,,,50,,,
,CHANGE,9996,,,,23.1,,,
,CASH ROUNDING,8010,,,,-0.01,,,
12383517,16/05/2022 12:17:18,211,,,28,SAM,18,1.63,16.37
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Sweet Potato Fry,905,,,1,7.5,6.82,7.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,PF Pork Toastie,1128,,,1,9.5,8.64,9.5,0
,EFTPOS,2,,,,18,,,
12383531,16/05/2022 12:19:47,211,,,29,ROB,41.4,3.77,37.63
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Chips,12,,,1,7.5,6.82,7.5,0
,HD Gravy,1230,,,1,1.5,1.36,1.5,0
,HD Beef Carvery Burger,1232,,,1,12,10.91,12,0
,Gravy,857,,,1,0,0,0,0
,HD Pork Carvery Burger,1233,,,1,12,10.91,12,0
,+ Cheese,352,,,1,1.5,1.36,1.5,0
,+ Egg,360,,,1,2,1.82,2,0
,Gravy,857,,,1,0,0,0,0
,600ML Solo,280,,,1,4.9,4.45,4.9,0
,UBER EATS,15,,,,41.4,,,
12383536,16/05/2022 12:20:51,211,,,30,RENSCHE,14.4,1.31,13.09
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Meaty Pork Sub,1322,,,1,14.4,13.09,14.4,0
,CASH,1,,,,5,,,
,EFTPOS,2,,,,9.4,,,
12383537,16/05/2022 12:21:12,212,,,35,SAM,11.7,1.06,10.64
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Tropical Spud,178,,,1,11.7,10.64,11.7,0
,EFTPOS,2,,,,11.7,,,
12383552,16/05/2022 12:24:47,212,,,36,RENSCHE,20.9,1.9,19
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,HD Brisket Triple Cheese Toastie,1251,,,1,10.5,9.55,10.5,0
,Pork Crackling Cup,111,,,1,5.5,5,5.5,0
,600ML Pepsi Max,277,,,1,4.9,4.45,4.9,0
,UBER EATS,15,,,,20.9,,,
12383554,16/05/2022 12:25:05,211,,,31,RENSCHE,8.5,0.77,7.73
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Large Gems,17,,,1,7.5,6.82,7.5,0
,Gravy PC,336,,,1,1,0.91,1,0
,EFTPOS,2,,,,8.5,,,
12383563,16/05/2022 12:27:00,211,,,32,RENSCHE,20.4,1.86,18.54
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Regular Chips,11,,,1,5.5,5,5.5,0
,Roast Pork Wrap,1180,,,1,10,9.09,10,0
,600ML Mountain Dew,283,,,1,4.9,4.45,4.9,0
,EFTPOS,2,,,,20.4,,,
12383574,16/05/2022 12:29:42,211,,,33,ROB,34,3.09,30.91
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,HD Pork Sub,1242,,,1,12,10.91,12,0
,Pork Crackling Cup,111,,,1,5.5,5,5.5,0
,HD ROAST BEEF MEAL,864,,,1,16.5,15,16.5,0
,UBER EATS,15,,,,34,,,
12383579,16/05/2022 12:31:07,212,,,37,RENSCHE,38.4,3.51,34.89
,Description,PLU,,,Quantity,Sales Inc,Sales Ex,Original,Item Disc.
,Beef Brisket Burger,754,,,1,11.5,10.45,11.5,0
,Large Chip Meal,501,,,1,4.1,3.73,4.1,0
,600ML Mountain Dew,283,,,1,4.9,4.45,4.9,0
,Pork Belly Burger,904,,,1,11.5,10.45,11.5,0
